date,Trips,Temperature,Visibility,WindSpeed
12/8/2015,994,54,7,3
12/9/2015,917,60,9,5
12/10/2015,487,56,8,10
12/11/2015,518,51,10,8
12/12/2015,148,48,10,5
12/13/2015,73,52,6,18
12/14/2015,882,50,10,9
12/15/2015,944,49,10,6
12/16/2015,960,47,10,5
12/17/2015,895,48,10,4
12/18/2015,716,52,8,9
12/19/2015,219,51,9,5
12/20/2015,39,46,6,12
12/21/2015,292,54,4,14
12/22/2015,487,56,8,20
12/23/2015,515,52,10,12
12/24/2015,119,48,9,12
12/25/2015,89,44,10,5
12/26/2015,100,45,10,6
12/27/2015,124,40,10,4
12/28/2015,423,42,10,5
12/29/2015,438,42,10,4
12/30/2015,278,44,9,7
12/31/2015,228,44,10,6
1/1/2016,89,44,10,7
1/2/2016,118,48,10,7
1/3/2016,108,52,10,7
1/4/2016,683,55,8,8
1/5/2016,570,52,7,11
1/6/2016,514,51,8,13
1/7/2016,876,50,10,5
1/8/2016,833,48,9,3
1/9/2016,109,53,9,8
1/10/2016,103,53,9,7
1/11/2016,966,55,10,4
1/12/2016,990,55,10,7
1/13/2016,919,53,9,12
1/14/2016,750,50,10,9
1/15/2016,864,53,9,5
1/16/2016,130,56,8,6
1/17/2016,89,58,8,10
1/18/2016,354,58,9,3
1/19/2016,537,57,7,12
1/20/2016,989,53,6,4
1/21/2016,971,56,10,7
1/22/2016,448,57,7,13
1/23/2016,206,55,9,14
1/24/2016,181,50,10,5
1/25/2016,1000,55,10,4
1/26/2016,979,52,9,4
1/27/2016,1020,55,10,4
1/28/2016,982,52,10,4
1/29/2016,514,58,8,9
1/30/2016,279,55,10,10
1/31/2016,191,53,10,13
2/1/2016,905,50,10,10
2/2/2016,773,50,9,10
2/3/2016,929,49,10,4
2/4/2016,946,54,10,6
2/5/2016,823,52,10,5
2/6/2016,363,52,10,4
2/7/2016,228,59,10,4
2/8/2016,1021,66,10,6
2/9/2016,999,58,10,4
2/10/2016,1018,58,9,5
2/11/2016,1021,61,10,4
2/12/2016,931,57,9,4
2/13/2016,295,59,7,4
2/14/2016,274,59,10,6
2/15/2016,391,63,10,4
2/16/2016,1019,63,10,4
2/17/2016,851,61,9,18
2/18/2016,914,57,10,12
2/19/2016,790,56,9,9
2/20/2016,256,51,10,5
2/21/2016,197,53,10,6
2/22/2016,1073,57,10,5
2/23/2016,1037,56,10,5
2/24/2016,1032,58,10,5
2/25/2016,1042,61,10,4
2/26/2016,920,59,10,7
2/27/2016,275,60,10,7
2/28/2016,195,57,10,4
2/29/2016,1031,61,6,4
3/1/2016,1103,61,10,5
3/2/2016,1043,60,9,7
3/3/2016,866,62,10,6
3/4/2016,685,62,8,8
3/5/2016,50,61,7,19
3/6/2016,130,57,9,17
3/7/2016,896,54,8,11
3/8/2016,999,51,10,7
3/9/2016,847,58,8,6
3/10/2016,597,62,7,13
3/11/2016,477,56,9,20
3/12/2016,149,56,8,17
3/13/2016,39,58,6,13
3/14/2016,994,56,10,9
3/15/2016,1068,55,10,6
3/16/2016,1069,58,10,5
3/17/2016,973,62,10,6
3/18/2016,876,58,10,8
3/19/2016,223,61,10,8
3/20/2016,139,59,9,9
3/21/2016,796,59,10,13
3/22/2016,997,55,10,10
3/23/2016,1071,57,10,6
3/24/2016,1017,58,10,7
3/25/2016,797,59,10,6
3/26/2016,308,58,10,9
3/27/2016,162,59,10,14
3/28/2016,960,57,10,13
3/29/2016,1024,54,10,8
3/30/2016,990,56,10,11
3/31/2016,967,59,10,11
4/1/2016,851,58,10,13
4/2/2016,227,60,10,8
4/3/2016,204,57,10,9
4/4/2016,1040,61,9,6
4/5/2016,1069,64,10,6
4/6/2016,1060,72,10,6
4/7/2016,1073,65,10,9
4/8/2016,882,63,9,8
4/9/2016,102,61,7,7
4/10/2016,180,57,8,10
4/11/2016,1037,60,9,8
4/12/2016,1029,59,10,11
4/13/2016,1027,60,10,11
4/14/2016,976,57,9,15
4/15/2016,949,60,10,11
4/16/2016,288,64,10,6
4/17/2016,195,67,10,5
4/18/2016,1068,67,10,6
4/19/2016,1145,66,10,6
4/20/2016,1181,62,10,8
4/21/2016,1039,67,10,10
4/22/2016,846,61,10,19
4/23/2016,250,59,10,11
4/24/2016,243,61,10,15
4/25/2016,1039,59,10,13
4/26/2016,1098,57,10,11
4/27/2016,1039,60,8,15
4/28/2016,1084,58,10,9
4/29/2016,963,59,10,12
4/30/2016,218,69,10,10
5/1/2016,198,68,10,8
5/2/2016,1085,61,10,10
5/3/2016,1094,62,10,8
5/4/2016,1120,63,10,9
5/5/2016,1099,63,10,9
5/6/2016,827,58,10,7
5/7/2016,131,60,10,6
5/8/2016,203,62,10,9
5/9/2016,1077,60,10,11
5/10/2016,1154,61,10,8
5/11/2016,1130,60,10,10
5/12/2016,1304,60,10,11
5/13/2016,1039,62,10,12
5/14/2016,334,64,10,10
5/15/2016,276,63,10,12
5/16/2016,1076,65,10,8
5/17/2016,1172,70,10,7
5/18/2016,1065,67,10,10
5/19/2016,1084,61,10,18
5/20/2016,983,59,10,22
5/21/2016,245,62,10,11
5/22/2016,238,62,10,12
5/23/2016,993,62,10,13
5/24/2016,1109,61,10,14
5/25/2016,1123,62,10,13
5/26/2016,1049,63,10,10
5/27/2016,870,64,10,8
5/28/2016,292,69,10,7
5/29/2016,248,64,10,9
5/30/2016,193,64,10,8
5/31/2016,1088,66,10,8
6/1/2016,1028,63,10,11
6/2/2016,1100,67,10,8
6/3/2016,979,72,10,7
6/4/2016,245,67,10,9
6/5/2016,194,65,10,10
6/6/2016,1160,62,10,11
6/7/2016,1130,65,10,14
6/8/2016,1112,65,10,14
6/9/2016,1096,63,10,13
6/10/2016,1000,63,10,12
6/11/2016,258,67,10,9
6/12/2016,249,66,10,8
6/13/2016,1131,62,10,15
6/14/2016,1143,62,10,20
6/15/2016,1096,61,10,19
6/16/2016,1109,66,10,9
6/17/2016,969,66,10,9
6/18/2016,293,67,10,10
6/19/2016,209,72,10,9
6/20/2016,1122,65,10,9
6/21/2016,1167,67,10,10
6/22/2016,1069,61,10,10
6/23/2016,1090,64,10,9
6/24/2016,962,66,10,9
6/25/2016,323,67,10,9
6/26/2016,244,67,10,10
6/27/2016,1097,65,10,9
6/28/2016,1137,64,10,10
6/29/2016,1043,59,9,9
6/30/2016,1039,65,9,9
7/1/2016,846,62,9,8
7/2/2016,241,64,10,9
7/3/2016,173,63,10,11
7/4/2016,257,64,10,10
7/5/2016,823,63,10,11
7/6/2016,955,61,10,13
7/7/2016,961,61,10,13
7/8/2016,871,62,10,10
7/9/2016,274,67,10,13
7/10/2016,265,67,10,9
7/11/2016,1011,63,10,10
7/12/2016,1034,64,10,10
7/13/2016,1081,70,10,9
7/14/2016,1020,64,10,13
7/15/2016,892,63,10,11
7/16/2016,222,65,10,9
7/17/2016,136,63,10,13
7/18/2016,1007,64,10,14
7/19/2016,1014,64,10,10
7/20/2016,1100,63,10,10
7/21/2016,1064,64,10,11
7/22/2016,903,65,10,8
7/23/2016,230,66,10,8
7/24/2016,189,65,10,8
7/25/2016,1046,65,10,8
7/26/2016,1063,69,10,7
7/27/2016,1057,67,10,11
7/28/2016,1026,66,10,11
7/29/2016,974,65,10,10
7/30/2016,259,63,10,11
7/31/2016,236,64,10,11
8/1/2016,1024,65,10,11
8/2/2016,1086,64,10,10
8/3/2016,1103,64,10,10
8/4/2016,989,62,10,12
8/5/2016,844,63,10,12
8/6/2016,252,62,10,12
8/7/2016,224,64,10,10
8/8/2016,1129,65,10,9
8/9/2016,1098,66,10,10
8/10/2016,1018,65,10,9
8/11/2016,1040,65,10,9
8/12/2016,909,65,10,8
8/13/2016,568,66,10,9
8/14/2016,634,64,10,12
8/15/2016,1049,63,10,10
8/16/2016,1124,64,10,10
8/17/2016,1115,64,10,11
8/18/2016,1126,66,10,10
8/19/2016,922,65,10,10
8/20/2016,253,65,10,10
8/21/2016,234,65,10,11
8/22/2016,1049,64,10,11
8/23/2016,1116,66,10,10
8/24/2016,1109,64,10,10
8/25/2016,1059,63,10,9
8/26/2016,989,68,10,9
8/27/2016,255,67,10,10
8/28/2016,228,66,10,11
8/29/2016,1060,66,10,12
8/30/2016,1092,68,10,11
8/31/2016,1062,66,10,12
